item_id,name,usable_at_45,required_level,item_level,slot,slot_code,item_type,item_subtype,quality,spell_power,intellect,haste,hit,crit,spirit,mp5,chrono_score,discovered,collected,worldforged,locations,tooltip
354271,Drape of the Lost,True,45,50,Back,INVTYPE_CLOAK,Armor,Cloth,3,0,9,0,0,6,0,0,9.6,True,False,True,"Azshara 14.9, 78.1 [CONFIRMED]",drape of the lost worldforged binds when picked up back 11 armor +6 stamina +9 intellect requires level 45 item level 50 equip: improves critical strike rating by 6.   you haven't collected this appearance
515167,Beastpile Drape,True,45,50,Back,INVTYPE_CLOAK,Armor,Cloth,2,0,0,0,0,0,0,0,0.0,True,False,True,"Feralas 73.6, 63.6 [FADING]",beastpile drape worldforged binds when picked up back 10 armor +5 agility +5 stamina requires level 45 item level 50 equip: increases attack power by 8.   you haven't collected this appearance
515181,Yeti Napkin,True,45,50,Back,INVTYPE_CLOAK,Armor,Cloth,3,0,0,0,0,0,0,0,0.0,True,False,True,"Feralas 52.3, 60.8 [FADING]",yeti napkin worldforged binds when picked up back 11 armor +8 strength +9 stamina requires level 45 item level 50   you haven't collected this appearance
515719,Seabreeze Hauberk,True,45,50,Chest,INVTYPE_CHEST,Armor,Mail,2,0,0,0,10,0,0,0,4.5,True,False,True,"The Hinterlands 79.0, 71.0 [CONFIRMED]",seabreeze hauberk worldforged binds when picked up chest mail 235 armor +9 agility +9 stamina requires level 45 item level 50 equip: improves hit rating by 10.   you haven't collected this appearance
516037,Sturdy Spectral Ring,True,45,50,Finger,INVTYPE_FINGER,Armor,Miscellaneous,3,0,0,0,0,0,0,0,0.0,True,False,True,"Blasted Lands 52.2, 5.5 [FADING]",sturdy spectral ring worldforged binds when picked up unique-equipped: sturdy spectral ring (1) finger +5 strength +6 stamina requires level 45 item level 50 equip: increases defense rating by 6.
515166,Bug Catchers,True,45,50,Hands,INVTYPE_HAND,Armor,Leather,3,10,11,0,0,0,0,0,18.8,True,False,True,"Feralas 74.5, 65.0 [CONFIRMED]",bug catchers worldforged binds when picked up hands leather 42 armor +8 stamina +11 intellect requires level 45 item level 50 equip: increases spell power by 10.   you haven't collected this appearance
515251,Magma Petting Mittens,True,45,50,Hands,INVTYPE_HAND,Armor,Mail,3,0,0,0,0,0,0,0,0.0,True,False,True,"Searing Gorge 56.0, 81.0 [CONFIRMED]","magma petting mittens worldforged binds when picked up hands mail 163 armor +7 strength +8 agility +8 stamina +8 fire resistance requires level 45 item level 50 ""love and heat go hand in hand.""   you haven't collected this appearance"
415045,Mok'rash's Circlet,True,45,50,Head,INVTYPE_HEAD,Armor,Leather,3,0,0,0,0,0,0,0,0.0,True,False,True,"Stranglethorn Vale 24.0, 72.0 [FADING]",mok'rash's circlet worldforged binds when picked up head leather 54 armor +16 stamina requires level 45 item level 50 equip: when struck in combat by melee attacks you have a chance to inflict 33 frost damage to all enemies within 8 yards.   you haven't collected this appearance
415157,Ragescorn Circlet,True,45,50,Head,INVTYPE_HEAD,Armor,Mail,4,0,0,0,0,0,8,0,0.0,True,False,True,"Badlands 57.0, 40.0 [CONFIRMED]",ragescorn circlet worldforged binds when picked up head mail 244 armor +5 strength +6 agility +8 spirit requires level 45 item level 50 equip: increases your armor penetration rating by 6. equip: taking melee damage while below 50% health has a chance to increase your attack power by 50 for 10 seconds. can only occur once every 60 seconds.   you haven't collected this appearance
515798,Desert Trader's Pants,True,45,50,Legs,INVTYPE_LEGS,Armor,Leather,2,0,0,0,0,0,0,0,0.0,True,False,True,"Tanaris 54.6, 60.4 [CONFIRMED]",desert trader's pants worldforged binds when picked up legs leather 53 armor +8 agility +8 stamina requires level 45 item level 50 equip: increases attack power by 12.   you haven't collected this appearance
